M02_Air_Con_System
M04_Belt
M05_Brake_System
M06_Cab_Body
M07_Clutch_Parts
M08_Diesel_Engine
M09_Disc_Plate
M10_Electronic_System
M12_Fuel_System
M16_Starter_Alternator
M18_Suspension
M21_Workshop_Tools
Packing
stationary
